##Command-line: 'kzclustexp -bVEobrooklyn2nystate.k20.smallerout -i5 -p30 -k20 -T12 -t5 -c25 -c27 -c50 -c54 -c75 -c81 -c100 -c125 -c162 -c243 -c250 -c375 -c486 -c500 -c625 -c729 -c1250 -c1458 -c1875 -c2187 -c2500 -c3125 -c3750 -c4374 -c6561 -c13122 -c19683 -N5 -B-74.057,40.551,-73.833,40.739,1.,0.0002 -M100G ../data/nystate.annotated.gr'
##z: 1
##nsamples: 5
##k: 20
##nv: 6324108
##ne: 6722684
##Subsampled: 121034 within bounding box, 1264 outside lat (40.551->40.739), lon (-74.057->-73.833), probabilities: 1/0.0002
#coreset_size	max distortion (VX11)	mean distortion (VX11)	 max distortion (BFL16)	mean distortion (BFL16)	max distortion (uniform sampling)	mean distortion (uniform sampling)	mean distortion on approximate soln [VX11]	meandist on approx [BFL16]	mean distortion on approximate solution, Uniform Sampling
25	0.153044	0.0949609	0.140646	0.0803138	0.65855	0.550966	0.0663497	0.00497631	0.354266
27	0.226174	0.144319	0.169846	0.109449	0.566095	0.494847	0.1134	0.00756355	0.306547
50	0.109228	0.0738916	0.207256	0.141025	0.723112	0.630774	0.0877392	0.0046914	0.242703
54	0.147607	0.101314	0.127338	0.0866732	0.528444	0.478076	0.0800255	0.00352109	0.292025
75	0.124052	0.0821418	0.186523	0.141962	0.895431	0.82389	0.102306	0.00518073	0.580441
81	0.13279	0.0783037	0.098102	0.0710559	0.499264	0.433692	0.0623876	0.00380732	0.23358
100	0.0854257	0.0627753	0.114255	0.0783694	0.408382	0.334049	0.0440055	0.0021044	0.206046
125	0.0748236	0.0441543	0.0891505	0.0502037	0.436973	0.362527	0.0769512	0.00285302	0.172648
162	0.0926481	0.0527379	0.137633	0.0912615	0.370246	0.317393	0.0448622	0.00256798	0.194102
243	0.103613	0.0732434	0.0703954	0.0485717	0.404002	0.352616	0.0341179	0.00232658	0.169661
250	0.104274	0.0850327	0.0558735	0.0290067	0.266718	0.239192	0.0537772	0.00137802	0.198733
375	0.0628178	0.0425669	0.0393294	0.0233412	0.390795	0.351052	0.0563315	0.00195913	0.112215
486	0.0526436	0.0346329	0.0582169	0.0414844	0.272601	0.250043	0.0357683	0.0017384	0.108943
500	0.05744	0.0343044	0.047408	0.0275572	0.264777	0.238571	0.0373454	0.000681342	0.107848
625	0.0330046	0.0201394	0.0413393	0.0257675	0.166957	0.124816	0.0179898	0.00101377	0.0635769
729	0.0350593	0.0204856	0.0578194	0.0336951	0.13053	0.113833	0.0286723	0.00104909	0.103152
1250	0.0500028	0.0369114	0.0381473	0.0274231	0.136513	0.120955	0.0161829	0.0020802	0.0536023
1458	0.0398804	0.0299011	0.0312893	0.0153162	0.123897	0.104759	0.0256099	0.000400469	0.060274
1875	0.0264767	0.0188634	0.0242929	0.0147451	0.107497	0.0912123	0.010812	0.000691044	0.0575929
2187	0.020672	0.0145702	0.0252158	0.0151761	0.121757	0.109663	0.0132322	0.000695509	0.0440969
2500	0.0173396	0.0112742	0.0168972	0.0087907	0.0796548	0.0658439	0.0196391	0.000536827	0.0465904
3125	0.0220331	0.0168588	0.02032	0.0108238	0.154149	0.131159	0.0170905	0.00031024	0.0795258
3750	0.0175737	0.0118097	0.016515	0.0113643	0.0824647	0.073186	0.0146473	0.000353828	0.0578332
4374	0.0132	0.00760582	0.0206888	0.0150005	0.0901128	0.0825868	0.0117099	0.000811435	0.0445859
6561	0.0154131	0.0108701	0.0137526	0.00814303	0.109523	0.0989345	0.0115844	0.000281991	0.0610741
13122	0.00699681	0.00503882	0.0143079	0.0105936	0.0310547	0.0254735	0.0127406	0.000404803	0.0104932
19683	0.00766995	0.00431479	0.00623287	0.0038084	0.0521716	0.047504	0.00383316	0.000210801	0.031374
